Locality,RestaurantName,Address,Category,CostForTwo,Cuisines,Ratings,votes,Latitude,Longitude
C Scheme,Kanha,"E 62, Bhagat Singh Marg, C Scheme, Jaipur","Sweet Shop, Quick Bites",500,"North Indian, South Indian, Fast Food, Chinese, Beverages",4.2,995,26.912258299999998,75.8005896
C Scheme,Stepout Cafe,"P 14, Sehdev Marg, Ashok Nagar, C Scheme, Jaipur","Café, Casual Dining",800,"Cafe, Italian, Lebanese, Mexican, Continental, Pizza, Street Food",4.5,1385,26.9058994,75.80207790000001
C Scheme,Burger Farm,"3 & 4, Trimurty, V-Jai City Point Building, Ahinsa Circle, Near Vodafone Store, C Scheme, Jaipur",Quick Bites,400,"Burger, Fast Food, Beverages",4.1,1427,26.9142461,75.8049298
C Scheme,Domino's Pizza,"C 18, Silver Square Mall, Bhagwandas Marg, C Scheme, Jaipur",Quick Bites,700,"Pizza, Fast Food",3.3,1258,26.915043100000005,75.80992579999999
C Scheme,Thali and More,"C-46 B, Sarojini Marg, Above Punjab National Bank, C Scheme, Jaipur",Casual Dining,1100,"North Indian, South Indian, Chinese, Fast Food",4.4,2339,26.910926,75.80567900000001
C Scheme,Little Italy,"C 11, KK Square, C Scheme, Jaipur",Casual Dining,2400,"Italian, Mexican, Beverages",4.2,1055,26.9108494,75.7986025
C Scheme,Tapri Central,"B4 E, 3rd Floor, Surana Jewellers, Opposite Central Park, C Scheme, Jaipur",Café,800,"Cafe, Fast Food, Street Food",4.7,3120,26.905601,75.81118199999999
C Scheme,The Yellow House - The Robot Restaurant,"Silver Square Mall, Near Rajmandir Cinema, C Scheme, Jaipur",Casual Dining,700,"North Indian, Chinese, Italian, Mexican",4.3,916,26.915209700000002,75.8098025
C Scheme,La Palma Cafe and Lounge Bar,"The Hotel Garden View, Subhash Marg, Near Ahinsa Circle, C Scheme, Jaipur",Café,1400,"Italian, European, Continental",4.2,825,26.914022999999997,75.804724
C Scheme,On The House,"E 145, Ramesh Marg, Behind Talwalkars, C Scheme, Jaipur","Casual Dining, Café",1500,"Italian, Continental, Mexican, Cafe",4.2,1572,26.905311100000002,75.79452009999999
C Scheme,Taxi Chick-Inn,"F-143, Azad Marg, Ashok Nagar, C Scheme, Jaipur",Quick Bites,650,North Indian,3.8,1399,26.909978000000002,75.797051
C Scheme,Masala Ministry,"Man Upasna Mall, Chomu House, C Scheme, Jaipur",Casual Dining,1100,"North Indian, Chinese, Fast Food, Street Food, Desserts, Beverages",4.4,1408,26.911946500000003,75.79717690000001
C Scheme,Naturals Ice Cream,"A 5, Ground Floor, Suryavanshi Pearl, Sarder Patel Marg, Near Chomu House Circle, C Scheme, Jaipur",Dessert Parlor,150,Ice Cream,4.4,899,26.911068699999998,75.7953309
C Scheme,Brown Sugar - Restaurant Cafe Bakery,"Aurum Apartment, Tilak Marg, C Scheme, Jaipur","Café, Quick Bites",600,"Cafe, Italian, Fast Food",4.2,1248,26.9075027,75.80135329999999
C Scheme,Molly Moo,"D 29, Subhash Marg, C Scheme, Jaipur",Dessert Parlor,300,"Desserts, Ice Cream",4.4,853,26.9110032,75.8018108
C Scheme,Chawla's Restaurant,"G 1, Shree Gopal Towers, Krishna Marg, C Scheme, Jaipur",Casual Dining,1200,"North Indian, Chinese",3.9,482,26.913950300000003,75.80645419999998
C Scheme,Steam - Rambagh Palace,"Rambagh Palace, Bhawani Singh Road, C Scheme, Jaipur",Lounge,2800,"Italian, Lebanese",4.5,905,26.8981053,75.8081498
C Scheme,Blackout Club & Terrace,"Hotel Golden Oak, 9th Floor, Ahinsa Circle, Landmark Building, C Scheme, Jaipur","Bar, Club",2200,"North Indian, Italian, Continental, Finger Food",4.4,2267,26.9139169,75.80591109999999
C Scheme,Retreat,"C 94, 8th Floor, Fortune Heights, Subhash Marg, C Scheme, Jaipur","Lounge, Casual Dining",1400,"North Indian, Continental, Mexican, Italian, Chinese",4.2,559,26.915461199999996,75.80643370000001
C Scheme,Subway,"F-188 B, Subhash Marg, C Scheme, Jaipur",Quick Bites,500,"Fast Food, Healthy Food, Sandwich, Salad",4.1,649,26.908663699999998,75.7997754
